year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,hour_of_day
2024,2,9,5,2024-02-09,AA,2590.0,SNA,"Santa Ana, CA",California,ORD,"Chicago, IL",Illinois,730,721.0,-9.0,,,,,1341,,,1,A,0,251.0,,,1726.0,0,0,0,0,0,7
2024,6,12,3,2024-06-12,B6,24.0,MCO,"Orlando, FL",Florida,DCA,"Washington, DC",Virginia,1836,,,,,,,2058,,,1,C,0,142.0,,,759.0,0,0,0,0,0,18
2024,5,30,4,2024-05-30,AA,2252.0,DFW,"Dallas/Fort Worth, TX",Texas,MCO,"Orlando, FL",Florida,1945,,,,,,,2325,,,1,B,0,160.0,,,985.0,0,0,0,0,0,19
2024,3,9,6,2024-03-09,NK,938.0,IAH,"Houston, TX",Texas,MIA,"Miami, FL",Florida,1519,,,,,,,1849,,,1,C,0,150.0,,,964.0,0,0,0,0,0,15
2024,8,4,7,2024-08-04,OH,5662.0,DCA,"Washington, DC",Virginia,ORF,"Norfolk, VA",Virginia,2201,,,,,,,2305,,,1,B,0,64.0,,,142.0,0,0,0,0,0,22
2024,10,10,4,2024-10-10,WN,4627.0,TPA,"Tampa, FL",Florida,BWI,"Baltimore, MD",Maryland,1930,,,,,,,2145,,,1,B,0,135.0,,,842.0,0,0,0,0,0,19
2024,6,6,4,2024-06-06,OH,5351.0,ROC,"Rochester, NY",New York,DCA,"Washington, DC",Virginia,534,,,,,,,655,,,1,B,0,81.0,,,296.0,0,0,0,0,0,5
2024,10,11,5,2024-10-11,F9,1977.0,BOS,"Boston, MA",Massachusetts,MCO,"Orlando, FL",Florida,600,,,,,,,920,,,1,B,0,200.0,,,1121.0,0,0,0,0,0,6
2024,5,12,7,2024-05-12,OO,3251.0,SBN,"South Bend, IN",Indiana,DFW,"Dallas/Fort Worth, TX",Texas,1603,,,,,,,1740,,,1,B,0,157.0,,,846.0,0,0,0,0,0,16
2024,8,5,1,2024-08-05,AA,1684.0,MIA,"Miami, FL",Florida,JAX,"Jacksonville, FL",Florida,855,,,,,,,1028,,,1,B,0,93.0,,,335.0,0,0,0,0,0,8
2024,8,4,7,2024-08-04,OH,5636.0,PHL,"Philadelphia, PA",Pennsylvania,DCA,"Washington, DC",Virginia,554,,,,,,,659,,,1,B,0,65.0,,,119.0,0,0,0,0,0,5
2024,7,15,1,2024-07-15,AA,1800.0,DTW,"Detroit, MI",Michigan,PHL,"Philadelphia, PA",Pennsylvania,710,,,,,,,846,,,1,A,0,96.0,,,453.0,0,0,0,0,0,7
2024,9,27,5,2024-09-27,WN,786.0,TPA,"Tampa, FL",Florida,AUS,"Austin, TX",Texas,655,,,,,,,825,,,1,B,0,150.0,,,928.0,0,0,0,0,0,6
2024,1,7,7,2024-01-07,AS,882.0,OGG,"Kahului, HI",Hawaii,LAX,"Los Angeles, CA",California,1255,,,,,,,2013,,,1,A,0,318.0,,,2486.0,0,0,0,0,0,12
2024,1,16,2,2024-01-16,OH,5161.0,CLT,"Charlotte, NC",North Carolina,VPS,"Valparaiso, FL",Florida,2025,,,,,,,2122,,,1,B,0,117.0,,,460.0,0,0,0,0,0,20
2024,12,6,5,2024-12-06,G4,2304.0,EUG,"Eugene, OR",Oregon,AZA,"Phoenix, AZ",Arizona,1849,,,,,,,2221,,,1,B,0,152.0,,,971.0,0,0,0,0,0,18
2024,1,6,6,2024-01-06,UA,1261.0,SMF,"Sacramento, CA",California,ORD,"Chicago, IL",Illinois,2359,,,,,,,607,,,1,A,0,248.0,,,1781.0,0,0,0,0,0,23
2024,1,20,6,2024-01-20,OO,5406.0,LAX,"Los Angeles, CA",California,RDM,"Bend/Redmond, OR",Oregon,1615,1615.0,0.0,27.0,1642.0,,,1840,,,1,B,0,145.0,,,726.0,0,0,0,0,0,16
2024,10,10,4,2024-10-10,OH,5398.0,GNV,"Gainesville, FL",Florida,CLT,"Charlotte, NC",North Carolina,624,,,,,,,800,,,1,B,0,96.0,,,388.0,0,0,0,0,0,6
2024,8,5,1,2024-08-05,OO,5514.0,MOT,"Minot, ND",North Dakota,DEN,"Denver, CO",Colorado,1520,,,,,,,1624,,,1,A,0,124.0,,,604.0,0,0,0,0,0,15
2024,3,18,1,2024-03-18,F9,1324.0,DEN,"Denver, CO",Colorado,DFW,"Dallas/Fort Worth, TX",Texas,505,,,,,,,808,,,1,A,0,123.0,,,641.0,0,0,0,0,0,5
2024,10,12,6,2024-10-12,F9,1674.0,CVG,"Cincinnati, OH",Kentucky,SRQ,"Sarasota/Bradenton, FL",Florida,1747,,,,,,,1956,,,1,B,0,129.0,,,812.0,0,0,0,0,0,17
2024,10,9,3,2024-10-09,WN,5988.0,SRQ,"Sarasota/Bradenton, FL",Florida,BWI,"Baltimore, MD",Maryland,1205,,,,,,,1425,,,1,B,0,140.0,,,880.0,0,0,0,0,0,12
2024,2,5,1,2024-02-05,OO,3465.0,SNA,"Santa Ana, CA",California,SFO,"San Francisco, CA",California,1630,,,,,,,1759,,,1,B,0,89.0,,,372.0,0,0,0,0,0,16
2024,7,22,1,2024-07-22,DL,2401.0,ATL,"Atlanta, GA",Georgia,EWR,"Newark, NJ",New Jersey,1002,,,,,,,1210,,,1,A,0,128.0,,,746.0,0,0,0,0,0,10
2024,6,25,2,2024-06-25,MQ,3907.0,ORD,"Chicago, IL",Illinois,IND,"Indianapolis, IN",Indiana,1315,,,,,,,1516,,,1,C,0,61.0,,,177.0,0,0,0,0,0,13
